,video_file,start_tone,middle_tone,end_tone,Transition_val,social_message
0,"toyota_esperas.mp4
",positive,positive,positive,No transition,No
1,"renault_real_life_doubles_lunch_with_the_inlaws.mp4
",positive,negative,positive,Transition,No
2,"89600.mp4
",positive,positive,positive,No transition,No
3,"brawny_once_a_mother_always_a_giant.webm
",positive,neutral,positive,Transition,No
4,"renault_wake_up_your_passion.mkv
",neutral,neutral,positive,Transition,No
5,"west_elm_get_house_proud.webm
",positive,positive,positive,No transition,No
6,"84562.mp4
",positive,positive,positive,No transition,No
7,"741057.mp4
",positive,positive,positive,No transition,Yes
8,"volkswagen_barbecue.mp4
",positive,positive,positive,No transition,No
9,"suzuki_dodgems.mp4
",positive,positive,positive,No transition,No
10,"otokoc_otomotiv_23rd_april.mp4
",positive,positive,positive,No transition,No
11,"renault_playful_chassis.webm
",positive,positive,positive,No transition,No
12,"ford_be_a_good_neighbor.webm
",negative,negative,positive,Transition,No
13,"volvo_a_new_beginning.mkv
",negative,positive,positive,Transition,No
14,"kia_brent.mkv
",positive,positive,positive,No transition,No
15,"4475.mp4
",negative,neutral,positive,Transition,No
16,"mobil1_porsche_bull.mp4
",neutral,neutral,neutral,No transition,No
17,"nissan_stories_by_the_million_fog.mp4
",negative,positive,positive,Transition,No
18,"dacia_the_lawn_mower.mkv
",positive,negative,positive,Transition,No
19,"eon_lets_renew_sweden.mkv
",neutral,neutral,positive,Transition,Yes
20,"midas_project_spark_hands.mp4
",negative,positive,positive,Transition,No
21,"whiskas_iris_and_thula.mkv
",negative,negative,positive,Transition,No
22,"midas_project_spark_anthem.webm
",negative,negative,positive,Transition,No
23,"459857.mp4
",neutral,positive,positive,Transition,No
24,"coldwell_banker_somebody_to_love.webm
",positive,positive,positive,No transition,No
25,"renault_theme_park.webm
",positive,negative,positive,Transition,No
26,"con_edison_your_power.mkv
",positive,positive,positive,No transition,No
27,"506322.mp4
",positive,negative,positive,Transition,No
28,"fiat_heated_seats.mp4
",neutral,neutral,positive,Transition,No
29,"toyota_drive_your_obsession.mkv
",positive,negative,positive,Transition,No
30,"bonami_the_dog.mp4
",neutral,positive,positive,Transition,No
31,"erectastep_8th_wonder_of_the_world.mp4
",positive,positive,positive,No transition,No
32,"741445.mp4
",neutral,positive,positive,Transition,No
33,"ram_trucks_school_talk.mkv
",neutral,positive,positive,Transition,No
34,"kia_the_suv_out_of_nowhere.mkv
",positive,neutral,positive,Transition,No
35,"gasco_lord_cochrane_1666.mkv
",negative,negative,negative,No transition,No
36,"743722.mp4
",negative,neutral,neutral,Transition,No
37,"30497.mp4
",negative,positive,positive,Transition,Yes
38,"renault_drive_the_future.webm
",positive,positive,positive,No transition,No
39,"abarth_wasteland.mp4
",negative,positive,positive,Transition,No
40,"2173.mp4
",negative,negative,positive,Transition,No
41,"renault_design.mp4
",positive,positive,positive,No transition,No
42,"mitsubishi_daughter.mkv
",positive,positive,positive,No transition,No
43,"volkswagen_transporter_vs_telekinesis.mp4
",negative,negative,negative,No transition,No
44,"promart_long_way.mp4
",neutral,negative,positive,Transition,No
45,"ferrari_ferrari_488_pista.mp4
",neutral,positive,positive,Transition,No
46,"mercedes_4fathers.mkv
",neutral,negative,positive,Transition,No
47,"volkswagen_red_flashy_thingy.mp4
",positive,negative,positive,Transition,No
48,"ford_performance_speed_therapy.mkv
",neutral,positive,positive,Transition,No
49,"energy_upgrade_california_its_easy_to_stay_golden.mp4
",positive,negative,positive,Transition,No
50,"volkswagen_transporter_vs_bodybuilders.mp4
",negative,positive,neutral,Transition,No
51,"polestar_the_break_up.mkv
",negative,positive,positive,Transition,Yes
52,"kingfisher_plc_start_something_new.mp4
",negative,negative,positive,Transition,No
53,"volkswagen_crashed_cases.mkv
",negative,neutral,positive,Transition,Yes
54,"loctite_conference.webm
",neutral,positive,positive,Transition,No
55,"italian_trade_commission_made_in_italy.mkv
",positive,neutral,neutral,Transition,No
56,"dreamies_all_it_takes_is_a_shake_cat_borrowers_anna.mkv
",positive,positive,positive,No transition,No
57,"buster_punch_switch_up.webm
",positive,positive,positive,No transition,No
58,"407030.mp4
",positive,negative,neutral,Transition,No
59,"nissan_simply_amazing.mp4
",neutral,positive,positive,Transition,No
60,"ikea_gul_45.mp4
",positive,positive,positive,No transition,No
61,"dreamies_all_it_takes_is_a_shake_cat_borrowers_grandma.webm
",neutral,neutral,neutral,No transition,No
62,"volkswagen_born_confident.mp4
",neutral,positive,positive,Transition,No
63,"28907.mp4
",neutral,negative,positive,Transition,No
64,"herman_miller_achairworthfightingfor.mp4
",neutral,negative,positive,Transition,No
65,"hyundai_make_quality_time_celebration.mp4
",positive,positive,negative,Transition,No
66,"adalskodun_the_heist.mp4
",negative,negative,negative,No transition,No
67,"743482.mp4
",positive,positive,negative,Transition,No
68,"geocell_dont_cut_down_decorate.mkv
",positive,positive,positive,No transition,No
69,"58035.mp4
",positive,positive,positive,No transition,No
70,"audi_you_dare_or_you_dont.mkv
",negative,neutral,positive,Transition,No
71,"skoda_km_converter.mp4
",neutral,neutral,positive,Transition,No
72,"ford_vampire_kid.webm
",neutral,negative,positive,Transition,No
73,"socal_honda_dealers_sleigh_wash.mp4
",positive,positive,positive,No transition,No
74,"volkswagen_simple_joys.mp4
",neutral,positive,positive,Transition,No
75,"1464.mp4
",neutral,positive,positive,Transition,No
76,"743715.mp4
",positive,negative,positive,Transition,No
77,"renault_koleos_tv.mkv
",negative,positive,positive,Transition,No
78,"jechangefr_sacrifices.mkv
",neutral,negative,neutral,Transition,No
79,"ikea_survivor.mp4
",negative,positive,positive,Transition,No
80,"shell_tsg_euroshell_clients_forest.mp4
",negative,positive,positive,Transition,Yes
81,"loctite_circle.mkv
",neutral,positive,positive,Transition,No
82,"29573.mp4
",negative,positive,neutral,Transition,No
83,"ikea_every_other_week.mp4
",positive,positive,positive,No transition,No
84,"schmackos_the_german_shepherd.mp4
",positive,positive,positive,No transition,No
85,"mitsubishi_more_everything.mkv
",neutral,positive,positive,Transition,No
86,"kia_work_blind_spot.mp4
",positive,positive,positive,No transition,No
87,"56712.mp4
",neutral,negative,positive,Transition,No
88,"sniff_the_clasico_dogs.mkv
",positive,positive,positive,No transition,Yes
89,"kohler_jealous.mkv
",positive,negative,positive,Transition,No
90,"renault_polar_limited_edition.mp4
",negative,positive,positive,Transition,No
91,"743499.mp4
",positive,positive,positive,No transition,No
92,"chevrolet_names.webm
",positive,positive,positive,No transition,No
93,"land_rover_martians_detected.webm
",neutral,neutral,positive,Transition,No
94,"leroy_merlin_lifes_adventure.mkv
",positive,positive,positive,No transition,No
95,"my_dog_beach.mkv
",positive,positive,positive,No transition,No
96,"petsafe_catspiracy.mkv
",neutral,positive,positive,Transition,No
97,"mercedes_38_seconds_part_4.mp4
",neutral,positive,positive,Transition,No
98,"toyota_pasta.mp4
",positive,positive,positive,No transition,No
99,"avis_massage.mkv
",neutral,negative,neutral,Transition,No
100,"valvoline_bike.mp4
",neutral,positive,positive,Transition,No
101,"pfister_the_science_of_xtract.mkv
",positive,negative,positive,Transition,No
102,"4467.mp4
",negative,negative,positive,Transition,No
103,"seventh_generation_trees_bees.mkv
",negative,negative,neutral,Transition,Yes
104,"bmw_bmw_x5_0.mkv
",neutral,neutral,neutral,No transition,No
105,"litterrobot_the_cat_sheet.mkv
",positive,positive,positive,No transition,No
106,"296352.mp4
",positive,positive,positive,No transition,No
107,"volvo_made_by_sweden.mkv
",positive,negative,positive,Transition,No
108,"audi_projection_of_greatness.mp4
",positive,positive,positive,No transition,No
109,"yellawood_sketch_pad.mkv
",positive,positive,positive,No transition,No
110,"297927.mp4
",negative,neutral,negative,Transition,No
111,"4364.mp4
",neutral,neutral,neutral,No transition,No
112,"557412.mp4
",neutral,positive,positive,Transition,No
113,"porsche_black_ink.mkv
",neutral,positive,positive,Transition,No
114,"138233.mp4
",positive,positive,positive,No transition,No
115,"citroen_wooden2cv.mp4
",neutral,positive,positive,Transition,No
116,"volkswagen_chance_encounter.mp4
",negative,negative,positive,Transition,No
117,"bunga_montessory_space_the_lighthouse_the_sea.mp4
",positive,positive,positive,No transition,No
118,"toyota_two_bold_wishes.mp4
",neutral,positive,positive,Transition,No
119,"hefty_checkout.mp4
",positive,positive,positive,No transition,No
120,"hills_relentless.mkv
",neutral,positive,positive,Transition,No
121,"743716.mp4
",positive,negative,negative,Transition,No
122,"volkswagen_hello_light.webm
",neutral,neutral,positive,Transition,No
123,"glad_thank_you.mkv
",negative,positive,positive,Transition,No
124,"yellawood_break_free.mkv
",positive,positive,positive,No transition,No
125,"oncor_keep_away_from_power_lines.mkv
",negative,positive,positive,Transition,No
126,"bobble_live_for_once.mkv
",positive,negative,positive,Transition,Yes
127,"toyota_start_your_impossible_chris_vos.mp4
",negative,negative,positive,Transition,No
128,"mini_cooper_created_in_a_countryman.mp4
",positive,negative,positive,Transition,No
129,"hedef_filo_waking_up.mkv
",negative,negative,positive,Transition,No
130,"land_rover_branching_out.mp4
",positive,positive,positive,No transition,No
131,"kao_nyantomo_letters_from_my_cat.mkv
",negative,negative,positive,Transition,No
132,"west_elm_accent_color.mkv
",neutral,positive,positive,Transition,No
133,"mercedes_habits.webm
",positive,positive,positive,No transition,No
134,"741546.mp4
",neutral,positive,positive,Transition,No
135,"laminex_midnight_and_moose.mp4
",positive,positive,neutral,Transition,No
136,"459248.mp4
",positive,positive,positive,No transition,No
137,"ikea_feel_alive_again.mkv
",negative,negative,positive,Transition,No
138,"engen_petroleum_put_a_little_f1_in_your_tank.mkv
",positive,positive,positive,No transition,No
139,"citroen_citroen_inspired_by_you_since_1919.mkv
",positive,positive,positive,No transition,No
140,"westland_horticulture_lawn_man_tv.mp4
",positive,negative,positive,Transition,No
141,"sparkle_gourmet_chicken_nuggets.mp4
",positive,positive,positive,No transition,No
142,"loctite_worlds_strongest_men_vs_loctite_super_bonder_ultra.mkv
",positive,negative,negative,Transition,No
143,"1517.mp4
",neutral,positive,positive,Transition,No
144,"4466.mp4
",neutral,neutral,neutral,No transition,No
145,"volkswagen_luxury_you_cant_give_up.webm
",positive,positive,positive,No transition,No
146,"743707.mp4
",positive,neutral,positive,Transition,No
147,"bmw_retrospect.mp4
",negative,negative,positive,Transition,No
148,"petsafe_catspiracy_2.mkv
",negative,negative,positive,Transition,No
149,"brawny_generations_of_strength.mkv
",positive,positive,positive,No transition,Yes
150,"ikea_her_cats_now_theres_choice.mkv
",negative,positive,positive,Transition,No
151,"nissan_stories_by_the_million_parking.mp4
",neutral,neutral,positive,Transition,No
152,"459528.mp4
",negative,negative,positive,Transition,No
153,"ford_when_you_wish_upon_a_star.mp4
",positive,positive,positive,No transition,No
154,"dacia_the_bagel.mkv
",negative,negative,positive,Transition,No
155,"high_mighty_hangxiety.webm
",neutral,neutral,positive,Transition,No
156,"nidera_seeds_ser_de_campo.mp4
",neutral,positive,positive,Transition,No
157,"honda_honda_kog.mp4
",neutral,neutral,positive,Transition,No
158,"audi_i_want_to.mp4
",positive,positive,positive,No transition,No
159,"reverie_reverie_for_exhausted_moms.mkv
",positive,positive,positive,No transition,No
160,"leroy_merlin_bathroom.mkv
",negative,positive,positive,Transition,No
161,"xlbygg_the_viking.mp4
",positive,negative,positive,Transition,No
162,"lincoln_the_2019_lincoln_navigator_sanctuary.mp4
",negative,positive,positive,Transition,No
163,"less_mess_storage_suzy.webm
",positive,negative,negative,Transition,No
164,"1778.mp4
",negative,neutral,positive,Transition,No
165,"volvo_nordic_landscapes.mkv
",neutral,positive,positive,Transition,No
166,"30007.mp4
",neutral,positive,positive,Transition,No
167,"land_rover_the_land_of_land_rovers.webm
",neutral,positive,positive,Transition,No
168,"shell_skydiving_car.mkv
",neutral,positive,positive,Transition,No
169,"caterpillar_tug_of_war.mp4
",negative,positive,positive,Transition,No
170,"459560.mp4
",positive,negative,negative,Transition,No
171,"glad_torture_tests.mkv
",positive,negative,positive,Transition,No
172,"mini_dont_fence_me_in.mp4
",neutral,positive,positive,Transition,No
173,"yeti_sword.mkv
",positive,neutral,positive,Transition,No
174,"napa_auto_parts_grandmas_car.mkv
",neutral,neutral,neutral,No transition,No
175,"lexus_lexus_es_amazing_world.mp4
",positive,positive,positive,No transition,No
176,"741299.mp4
",negative,negative,positive,Transition,No
177,"bentley_the_new_continental_gt_has_arrived.mkv
",positive,positive,positive,No transition,No
178,"infiniti_study_of_power.mp4
",neutral,positive,positive,Transition,No
179,"557844.mp4
",neutral,negative,positive,Transition,No
180,"napa_auto_parts_the_power_commuter.mkv
",positive,positive,positive,No transition,No
181,"dingo_rawhides_raw_happiness_films_tennis.mkv
",positive,positive,positive,No transition,No
182,"506800.mp4
",negative,negative,positive,Transition,No
183,"460355.mp4
",negative,positive,positive,Transition,No
184,"ikea_good_solutions_for_bad_habits_6.mp4
",negative,negative,positive,Transition,No
185,"volkswagen_the_school.mkv
",neutral,neutral,neutral,No transition,No
186,"fram_speakers.mkv
",neutral,neutral,positive,Transition,No
187,"ronseal_do_the_diy_fence_life_plus.mp4
",positive,negative,positive,Transition,No
188,"295983.mp4
",negative,positive,positive,Transition,No
